BrandName,Title,Price,Rating,Rating Count,Ranking,URL
VALENCIA,"VALENCIA Hola Door Lock with Fingerprint, RFID, PIN & M...",3999,4.2,50,1,https://www.flipkart.com/valencia-hola-door-lock-fingerprint-rfid-pin-manual-key-access-alarm-feature-smart/p/itm7bbf23769e31e?pid=SLOGXWYUYKATCSX5&lid=LSTSLOGXWYUYKATCSX51X2RGF&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOGXWYUYKATCSX5.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
IFITech,IFITech smart rechargeable fingerprint padlock Smart Do...,2093,4.4,18,2,https://www.flipkart.com/ifitech-smart-rechargeable-fingerprint-padlock-door-lock/p/itm06ff1a75481ee?pid=SLOGWU9FC3CD9HT7&lid=LSTSLOGWU9FC3CD9HT7WZKA6P&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOGWU9FC3CD9HT7.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
Atomberg,"Atomberg SL1 With Fingerprint, PIN, OTP, NFC Card, App,...",15999,4.7,33,3,https://www.flipkart.com/atomberg-sl1-fingerprint-pin-otp-nfc-card-app-key-access-5-bolts-smart-door-lock/p/itm8262f7c4932db?pid=SLOGTBZFW6T3JMZ2&lid=LSTSLOGTBZFW6T3JMZ2GEVKAW&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOGTBZFW6T3JMZ2.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
Atomberg,"Atomberg Azhero With Fingerprint, PIN, OTP, NFC, App, K...",10499,4.6,9,4,https://www.flipkart.com/atomberg-azhero-fingerprint-pin-otp-nfc-app-key-access-2-bolts-smart-door-lock/p/itm0f9b2a53c01b9?pid=SLOHFHHKYNES54HB&lid=LSTSLOHFHHKYNES54HB8PUJYE&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOHFHHKYNES54HB.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
Atomberg,"Atomberg Azhero With Fingerprint, PIN, OTP, NFC, App, K...",10499,4.6,9,5,https://www.flipkart.com/atomberg-azhero-fingerprint-pin-otp-nfc-app-key-access-2-bolts-smart-door-lock/p/itm31bc94add40c9?pid=SLOHFHHKN22WBXVQ&lid=LSTSLOHFHHKN22WBXVQ8ZZBHD&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOHFHHKN22WBXVQ.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
IFITech,IFITech IFIPADLOCK-V2 Keyless Rechargeable Fingerprint ...,2099,3.4,9,6,https://www.flipkart.com/ifitech-ifipadlock-v2-keyless-rechargeable-fingerprint-padlock-smart-door-lock/p/itm496e28dbfe4c9?pid=SLOGZJVCXPK4ZPY3&lid=LSTSLOGZJVCXPK4ZPY3XAIERR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOGZJVCXPK4ZPY3.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
PalD,PalD Household Cabinet Password Locks Security Slide La...,787,N/A,N/A,7,https://www.flipkart.com/pald-household-cabinet-password-locks-security-slide-latch-3-digit-code-lock-fordoors-smart-door/p/itm445cb934a1ef4?pid=SLOH2SSYHXFPXABX&lid=LSTSLOH2SSYHXFPXABXUL8NVR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOH2SSYHXFPXABX.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
azLock,azLock Alarm Lock Smart Door Lock,526,3.8,45,8,https://www.flipkart.com/azlock-alarm-lock-smart-door/p/itm07494f77b7c1d?pid=SLOFYNFYMHFFY8B4&lid=LSTSLOFYNFYMHFFY8B42E84NC&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOFYNFYMHFFY8B4.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
Godrej,Godrej Catus Connect I Smart Digital Lock for Wooden Do...,14194,N/A,N/A,9,https://www.flipkart.com/godrej-catus-connect-smart-digital-lock-wooden-door-5-1-access-3-bolts/p/itmad717aa6cf361?pid=SLOHF73WBU7HZJZM&lid=LSTSLOHF73WBU7HZJZMJHRXOQ&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOHF73WBU7HZJZM.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
Godrej,Godrej Catus Touch I Smart Digital Lock for Wooden Door...,7194,N/A,N/A,10,https://www.flipkart.com/godrej-catus-touch-smart-digital-lock-wooden-door-2-1-access-3-yr-warranty/p/itm8df5846dab9fb?pid=SLOHF73W5M5HTTNM&lid=LSTSLOHF73W5M5HTTNMTBU0JE&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=10d9b754-9c6f-4995-aa41-3fd83869d41d.SLOHF73W5M5HTTNM.SEARCH&ppt=None&ppn=None&ssid=06ol2ew5fk0000001725996883341&qH=cbd6bd39f1bc0eb5
